story_no,ressort,title,publication_date,type,url
22043,Klima & Umwelt,Testdaten Waldbrände führen zu Ozonabbau in der Stratosphäre,2022-03-18,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/waldbraende-fuehren-zu-ozonabbau-in-der-stratosphaere/
22044,Medizin & Lebenswissenschaften,Testdaten Gentherapie gegen Bluterkrankheit Hämophilie A,2022-03-16,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/gentherapie-gegen-bluterkrankheit-haemophilie-a/
22046,Klima & Umwelt,Testdaten Beitrag der Arbeitsgruppe III zum Sechsten Sachstandsbericht des IPPC,2022-04-03,Press Briefing,https://www.sciencemediacenter.de/alle-angebote/press-briefing/details/news/veroeffentlichung-des-beitrags-der-arbeitsgruppe-iii-zum-sechsten-sachstandsbericht-des-ipcc/
22011,Klima & Umwelt,Testdaten Beitrag der Arbeitsgruppe II zum Sechsten Sachstandsbericht des IPCC,2022-02-27,Press Briefing,https://www.sciencemediacenter.de/alle-angebote/press-briefing/details/news/beitrag-der-arbeitsgruppe-ii-zum-sechsten-sachstandsbericht-des-ipcc/
22012,Klima & Umwelt,Testdaten Carbon Farming - eine gute Idee?,2022-02-02,Science Response,https://www.sciencemediacenter.de/alle-angebote/science-response/details/news/klimaschutz-mit-carbon-farming-eine-gute-idee/
22079,Klima & Umwelt,Testdaten Glyphosat in Nahrung von Hummeln bedroht Überleben der Kolonie,2022-06-02,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/glyphosat-in-nahrung-von-hummeln-bedroht-ueberleben-der-kolonie/
22005,Digitales & Technologie,Testdaten Sechs Merkmale für gute Algorithmen in der Medizin,2022-01-18,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/sechs-merkmale-fuer-gute-algorithmen-in-der-medizin/
22006,Klima & Umwelt,Testdaten Klimaneutrale Schifffahrt ökonomisch und technisch machbar?,2022-01-17,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/klimaneutrale-schifffahrt-oekonomisch-und-technisch-machbar/
22007,Medizin & Lebenswissenschaften,Testdaten Priorisierung der PCR-Testkapazitäten,2022-01-14,Rapid Reaction,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/priorisierung-der-pcr-testkapazitaeten/
22066,Klima & Umwelt,Testdaten EU-Emissionshandel für Gebäude und Verkehr: Gefährden Kompromisse seine Wirksamkeit? ,2022-05-13,Press Briefing,https://www.sciencemediacenter.de/alle-angebote/press-briefing/details/news/eu-emissionshandel-fuer-gebaeude-und-verkehr-gefaehrden-kompromisse-seine-wirksamkeit/
22013,Medizin & Lebenswissenschaften,Testdaten Debatte um Dauer des Genesenenstatus,2022-02-04,Rapid Reaction,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/debatte-um-dauer-des-genesenenstatus/
22067,Medizin & Lebenswissenschaften,Testdaten Verjüngung der Gedächtnisleistung von alten Mäusen,2022-05-11,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/verjuengung-der-gedaechtnisleistung-von-alten-maeusen/
22024,Klima & Umwelt,Testdaten Stimmen zum Bericht der Arbeitsgruppe II zum aktuellen IPCC-Bericht,2022-02-27,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/stimmen-zum-bericht-der-arbeitsgruppe-ii-zum-aktuellen-ipcc-bericht/
22068,Digitales & Technologie,Testdaten EU-Kommissionsvorschlag zur Chatkontrolle,2022-05-11,Rapid Reaction,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/eu-kommissionsvorschlag-zur-chatkontrolle/
22080,Klima & Umwelt,Testdaten Carbon Leakage: Wie lässt sich die Abwanderung von Emissionen verhindern? ,2022-06-02,Fact Sheet,
22069,Medizin & Lebenswissenschaften,Testdaten Lehren aus der ersten Xenotransplantation eines Schweinherzens,2022-05-13,Rapid Reaction,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/lehren-aus-der-ersten-xenotransplantation-eines-schweinherzens/
22002,Medizin & Lebenswissenschaften,Testdaten Epstein-Barr-Virus als Ursache für Multiple Sklerose,2022-01-13,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/epstein-barr-virus-als-ursache-fuer-multiple-sklerose/
22025,Digitales & Technologie,Testdaten Data Act – neuer EU-Rechtsakt für den Datenaustausch,2022-02-24,Rapid Reaction,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/data-act-neuer-eu-rechtsakt-fuer-den-datenaustausch/
22082,Medizin & Lebenswissenschaften,Testdaten Nutzen angepasster Corona-Impfstoffe bei immer neuen Virusvarianten,2022-06-13,Rapid Reaction,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/nutzen-angepasster-corona-impfstoffe-bei-immer-neuen-virusvarianten/
22004,Klima & Umwelt,Testdaten Was bedeutet der Windkraftausbau für den Artenschutz? Politische Pläne und wissenschaftliche Perspektiven,2022-01-11,Press Briefing,https://www.sciencemediacenter.de/alle-angebote/press-briefing/details/news/was-bedeutet-der-windkraftausbau-fuer-den-artenschutz-politische-plaene-und-wissenschaftliche-perspektiven/
22014,Medizin & Lebenswissenschaften,Testdaten Wieso kann sich Omikron so schnell verbreiten?,2022-01-31,Fact Sheet,
22003,Medizin & Lebenswissenschaften,Testdaten Erstmals genetisch verändertes Schweineherz in Menschen transplantiert,2022-01-11,Rapid Reaction,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/erstmals-genetisch-veraendertes-schweineherz-in-menschen-transplantiert/
22001,Medizin & Lebenswissenschaften,Testdaten Neue Erkenntnisse zu Omikron und Ausblick,2022-01-03,Press Briefing,https://www.sciencemediacenter.de/alle-angebote/press-briefing/details/news/neue-erkenntnisse-zu-omikron-und-ausblick/
22015,Digitales & Technologie,Testdaten Effekt von Faktenchecks auf Falschwahrnehmungen zu COVID-19,2022-02-03,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/effekt-von-faktenchecks-auf-falschwahrnehmungen-zu-covid-19/
22039,Klima & Umwelt,Testdaten Auswirkungen des Ukraine-Krieg auf Ernährungssicherheit,2022-03-09,Rapid Reaction,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/auswirkungen-des-ukraine-krieg-auf-ernaehrungssicherheit/
22016,Klima & Umwelt,Testdaten Einfluss von Naturschutzgebieten auf Ernährungssicherheit,2022-02-03,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/einfluss-von-naturschutzgebieten-auf-ernaehrungssicherheit/
21172,Medizin & Lebenswissenschaften,Testdaten Neue Erkenntnisse zu Omikron + Ausblick,2022-01-03,Press Briefing,https://www.sciencemediacenter.de/alle-angebote/press-briefing/details/news/neue-erkenntnisse-zu-omikron-und-ausblick
22050,Energie & Mobilität,Testdaten Drohender Gas-Lieferstopp: Wie bereitet sich Deutschland auf den Winter vor?,2022-03-30,Rapid Reaction,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/moeglicher-gas-lieferstopp-wie-bereitet-sich-deutschland-auf-den-winter-vor/
22027,Klima & Umwelt,Testdaten Verhandlungen über ein internationales Plastikabkommen ,2022-02-24,Rapid Reaction,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/verhandlungen-ueber-ein-internationales-plastikabkommen/
22017,Medizin & Lebenswissenschaften,Testdaten Elektrostimulation ermöglicht Bewegung nach Querschnittlähmung,2022-02-07,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/elektrostimulation-ermoeglicht-bewegung-nach-querschnittlaehmung/
22077,Medizin & Lebenswissenschaften,Testdaten Affenpocken,2022-05-27,Press Briefing,https://www.sciencemediacenter.de/alle-angebote/press-briefing/details/news/affenpocken-verbreitungsdynamik-gegenmassnahmen-und-therapieoptionen/
22029,Energie & Mobilität,Testdaten Welche Folgen könnte die Ukraine-Krise für die Energiewende haben,2022-02-23,Rapid Reaction,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/welche-folgen-koennte-die-ukraine-krise-fuer-die-energiewende-haben/
22018,Klima & Umwelt,Testdaten Gletscher enthalten weniger Eis als bisher angenommen,2022-02-07,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/gletscher-enthalten-weniger-eis-als-bisher-angenommen/
22030,Energie & Mobilität,Testdaten Wie sollten die Rahmenbedingungen für die Energiewende verbessert werden? ,2022-03-08,Rapid Reaction,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/wie-sollten-die-rahmenbedingungen-fuer-die-energiewende-verbessert-werden/
22051,Klima & Umwelt,Testdaten Ernährungssicherheit in Kriegszeiten: Welchen Beitrag können Deutschland und die EU leisten? ,2022-04-01,Press Briefing,https://www.sciencemediacenter.de/alle-angebote/press-briefing/details/news/ernaehrungssicherheit-in-kriegszeiten-welchen-beitrag-koennen-deutschland-und-die-eu-leisten/
22031,Digitales & Technologie,Testdaten Cyberangriffe im Zuge des Ukraine-Konflikts,2022-03-02,Press Briefing,https://www.sciencemediacenter.de/alle-angebote/press-briefing/details/news/cyberangriffe-im-zuge-des-ukraine-konflikts-bedrohung-auswirkungen-schutz/
22038,Energie & Mobilität,Testdaten Ukraine-Krieg: Sollten Deutschland russisches Öl und Gas boykottieren?,2022-03-07,Press Briefing,https://www.sciencemediacenter.de/alle-angebote/press-briefing/details/news/ukraine-krieg-was-tun-ohne-gas-oel-und-kohle-aus-russland/
22070,Klima & Umwelt,Testdaten Wie gelingt der klimaresiliente Umbau der Wälder?,2022-05-27,Science Response,https://www.sciencemediacenter.de/alle-angebote/science-response/details/news/wie-gelingt-der-klimaresiliente-umbau-der-waelder/
22019,Digitales & Technologie,Testdaten Algorithmen bei Bewerbungsverfahren – sinnvoll und vertretbar?,2022-02-11,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/algorithmen-bei-bewerbungsverfahren-sinnvoll-und-vertretbar/
22034,Medizin & Lebenswissenschaften,Testdaten Dopamin aktiviert REM-Schlafphase in Mäusen,2022-03-03,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/dopamin-aktiviert-rem-schlafphase-in-maeusen/
22072,Medizin & Lebenswissenschaften,Testdaten Affenpocken - Was bisher bekannt ist,2022-05-23,Fact Sheet,
22074,Medizin & Lebenswissenschaften,Testdaten Internationaler Ausbruch von Affenpocken,2022-05-20,Rapid Reaction,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/internationaler-ausbruch-von-affenpocken/
22073,Medizin & Lebenswissenschaften,Testdaten Aktualisierte COVID-19-Impfempfehlung für 5- bis 11-jährige,2022-05-23,Press Briefing,https://www.sciencemediacenter.de/alle-angebote/press-briefing/details/news/aktualisierte-covid-19-impfempfehlung-fuer-5-bis-11-jaehrige/
22032,Klima & Umwelt,Testdaten Wirtschaftswachstum und darüber hinaus - Wie lässt sich Wohlstand messen?,2022-02-28,Fact Sheet,
22075,Digitales & Technologie,"Testdaten Chatkontrolle und DSA: Quo vadis, EU-Digitalgesetzgebung?",2022-05-24,Press Briefing,https://www.sciencemediacenter.de/alle-angebote/press-briefing/details/news/chatkontrolle-und-dsa-quo-vadis-eu-digitalgesetzgebung/
22035,Medizin & Lebenswissenschaften,Testdaten Potenzielle Immunisierung gegen RSV für gesunde Säuglinge,2022-03-02,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/potenzielle-immunisierung-gegen-rsv-fuer-gesunde-saeuglinge/
22040,Klima & Umwelt,Testdaten Stromverbindung zu Tschernobyl unterbrochen,2022-03-09,Rapid Reaction,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/stromverbindung-zu-tschernobyl-unterbrochen/
22052,Medizin & Lebenswissenschaften,Testdaten Schwere Entzündungen im Gehirn von Affen mit COVID-19 entdeckt,2022-04-01,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/schwere-entzuendungen-im-gehirn-von-affen-mit-covid-19-entdeckt/
22087,Medizin & Lebenswissenschaften,Testdaten SMC Gasspeicher Report 2022,2022-06-13,Fact Sheet,https://www.sciencemediacenter.de/alle-angebote/energiewende/gasspeicher-report/
22026,Energie & Mobilität,Testdaten 50 Jahre Limits to Growth,2022-02-25,Rapid Reaction,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/50-jahre-limits-to-growth/
22086,Medizin & Lebenswissenschaften,Testdaten SMC Corona-Tagesreports 2022,2022-01-01,Fact Sheet,https://www.sciencemediacenter.de/alle-angebote/coronavirus/corona-report/
22092,Digitales & Technologie,Testdaten Offener Brief fordert Maßnahmen gegen Ransomware,2022-06-27,Research in Context,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/offener-brief-fordert-massnahmen-gegen-ransomware/
22097,Medizin & Lebenswissenschaften,Testdaten Komposition der COVID-19-Booster für den Herbst,2022-06-29,Rapid Reaction,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/komposition-der-covid-19-booster-fuer-den-herbst/
24601,Energie & Mobilität,test NULL,NA,Rapid Reaction,NA
